Compound Name,Compound Class,Chromatography - ion mode,Compound Name Leg,Formula,Mass,RT,CAS ID,blank-1,blank-2,blank-3,P H-433,P H-457,P H-458,P H-459,P H-460,P H-461,P H-462,P H-463,P H-464,P H-466,P H-467,P H-468,P H-469 -1,P H-469 -2 ,P H-470,P H-471,P H-472,P H-473,P H-474,P H-475,P H-476,P H-477,P H-478,P H-479,P H-480,P H-481,P H-482,P H-483,P H-484,P H-485,P H-486,P H-487,P H-488,P H-489,P H-490,P H-491,P H-492,P H-495,P H-496,P H-497,P H-498,P H-499,P H-501,P H-502,P H-504,P H-505,P H-506,P H-507,P H-509,P H-510,P H-511,P H-512,P H-513,P H-514,P H-515,P H-516,QC-P pool-1,QC-P pool-2,QC-P pool-3,QC-P pool-4,QC-P pool-5,QC-P pool-6
190_Glycocholic acid,iHILICpos,pHILICpos,pHILICpos_190_Glycocholic acid,C26H43NO6,465.309038,0.94,,609609,614742,607674,902571,496995,549219,466554,814637,405621,760420,482866,474480,588637,540797,447282,2421483,667882,568044,598718,671324,493117,605942,570188,436768,898829,706223,929537,820961,705358,635934,430447,628673,563716,821592,861253,838480,880298,562416,807123,721154,523247,389441,610865,510887,386385,500128,925363,537998,640284,1771855,1437020,888795,817854,580685,417780,2145701,884107,822821,327563,976961,904094,739028,600921,575520,525941
191_Guanidineacetic acid,iHILICpos,pHILICpos,pHILICpos_191_Guanidineacetic acid,C3H7N3O2,117.053827,6.93,,7319,3215,4917,85602,119619,224091,176708,572236,459328,6325876,175442,151295,5965613,81743,5118531,5929864,211650,73984,143079,1148168,157813,5568972,224251,1268335,6857504,4623491,762309,13244190,314224,91351,563855,202073,61600,8862755,113364,429778,713843,165143,470382,4188783,123400,88955,3988161,173812,2696289,56439,1932624,354032,4604984,3265514,224290,6804422,406047,333557,2880361,3322694,258228,253610,2722450,604262,573244,248706,234941,224592,162457
197_Kynurenine,iHILICpos,pHILICpos,pHILICpos_197_Kynurenine,C10H12N2O3,208.084792,4.32,,490,3309,8550,253401,242706,330440,443752,633353,210714,558111,769343,226399,363317,244864,516873,1403483,526772,287433,845088,499506,222806,444221,374298,416385,892843,362368,853838,707983,355457,218857,271307,576550,438864,704298,657629,761118,900555,369219,482440,685956,463321,218604,533025,328602,248608,243195,650677,568893,709859,788706,420312,1123228,767615,538119,389633,742060,455706,490134,474981,849800,607011,475442,359608,333342,284297
202_Ergothioneine,iHILICpos,pHILICpos,pHILICpos_202_Ergothioneine,C9H16N3O2S,230.096323,6.22,,12641,6759,14746,182757,101630,121970,160382,215984,45118,185854,183927,163622,273316,189622,344145,319681,179398,172831,187490,166932,182408,271942,138531,419794,229757,425329,289134,236554,196968,211659,46009,169118,167207,84123,256306,343485,228320,197088,200482,97347,224225,76016,181531,138094,86398,187968,74640,177432,153373,171806,246462,238168,255582,166559,133768,112089,316446,196482,264858,288637,244691,205295,161819,152698,123331
215_N L Acetyl arginine,iHILICpos,pHILICpos,pHILICpos_215_N L Acetyl arginine,C8H16N4O3,216.12224,6.45,,2206,2367,108,8939,73774,107557,48696,141680,134215,282527,118300,108577,191210,14063,193489,237305,126136,59116,58232,309379,32130,395651,103841,211570,253522,184793,202594,284098,250154,42632,137503,114710,45474,335314,83808,169764,217671,75562,154697,116185,52714,57949,201010,67127,141090,42127,82312,123024,105770,205867,43277,343355,109189,168995,230584,86728,70398,39542,253539,176973,203903,149409,125487,101892,95128
217_N_N-DIMETHYLARGININE,iHILICpos,pHILICpos,pHILICpos_217_N_N-DIMETHYLARGININE,C8H18N4O2,202.142976,9.62,,3768,5895,4573,200548,300033,469077,418373,717746,356991,823865,524132,336636,486749,298316,567299,1390167,542791,323224,689281,792185,448294,688758,469478,581860,1048445,650881,900696,1559227,545367,322146,420796,626420,324439,923683,765699,992534,895651,395505,576038,1157475,459061,274881,861236,413644,435707,337046,736007,618092,824431,1021017,579078,1243278,784335,530447,409492,501623,511119,439501,492812,888701,801753,583672,458123,393452,348425
218_N_N-Dimethylglycine,iHILICpos,pHILICpos,pHILICpos_218_N_N-Dimethylglycine,C4H9NO2,103.063329,5.4,,33566,18936,13406,295913,319990,311883,411983,573444,327300,718818,363404,456897,457878,293720,356735,791715,522367,318161,463490,723374,361453,513154,459520,362871,862847,429961,720392,837080,541062,450003,305554,569832,391590,768981,547595,586861,869819,367591,618707,621109,392509,305336,766481,337190,329935,280012,324724,340031,451392,814061,566605,807741,527470,521898,333536,320698,462928,618022,292679,765944,630253,471954,392217,355276,247475
220_N2_N2-Dimethylguanosine,iHILICpos,pHILICpos,pHILICpos_220_N2_N2-Dimethylguanosine,C12H17N5O5,311.122969,2.66,,11247,2147,7669,101466,217716,163409,129627,286878,169861,493432,155712,179330,297030,115883,156800,564268,175090,155200,176231,352230,164440,222713,143610,340622,458631,260498,202213,539374,302012,174894,132696,179041,152506,446652,258871,246329,274238,187477,426926,425564,157916,92362,184404,201636,140684,139488,367926,189107,307330,441729,208461,220864,244729,146890,134181,189729,160120,313300,157310,338683,292280,219373,197950,137525,133374
221_N4 Acetylcytidine,iHILICpos,pHILICpos,pHILICpos_221_N4 Acetylcytidine,C11H15N3O6,285.096085,2.46,,4176,3544,4212,223126,268730,279536,176773,578845,140339,394034,344232,229759,311728,248489,244077,696025,415807,248668,326877,230532,321122,259408,322384,399183,419951,195011,459154,731976,464647,510068,178612,362995,410319,492553,1076927,566283,429664,336721,499853,250231,265544,163279,289743,438364,205300,296058,245839,312872,444548,514800,377838,365561,841028,297257,154676,246633,397106,497509,237717,438645,452371,334633,289469,231787,199250
222_Nicotinamide,iHILICpos,pHILICpos,pHILICpos_222_Nicotinamide,C6H6N2O,122.048013,1.87,,8050,4628,14797,8859399,5642638,4097017,5247986,9971173,5374040,9504100,5761614,6124166,15249715,4855081,2536757,15715593,9023059,6286092,7878604,9993237,3944577,8805275,7264147,5114510,13316633,6189851,4591530,18174770,7645863,10976086,3178209,7452887,7314263,16221761,5906395,7384215,14397629,8326272,10580401,13129177,5753332,4835041,8793960,6364102,4175031,5324095,11258596,8107841,12864984,14474341,7346766,11783260,6817566,4853179,4396628,6595369,6035127,12781152,4315351,11125227,10162130,8685774,6902937,5543032,5613593
