Compound Name,Compound Class,Chromatography - ion mode,Compound Name Leg,Formula,Mass,RT,CAS ID,blank-1,blank-2,blank-3,P H-433,P H-457,P H-458,P H-459,P H-460,P H-461,P H-462,P H-463,P H-464,P H-466,P H-467,P H-468,P H-469 -1,P H-469 -2 ,P H-470,P H-471,P H-472,P H-473,P H-474,P H-475,P H-476,P H-477,P H-478,P H-479,P H-480,P H-481,P H-482,P H-483,P H-484,P H-485,P H-486,P H-487,P H-488,P H-489,P H-490,P H-491,P H-492,P H-495,P H-496,P H-497,P H-498,P H-499,P H-501,P H-502,P H-504,P H-505,P H-506,P H-507,P H-509,P H-510,P H-511,P H-512,P H-513,P H-514,P H-515,P H-516,QC-P pool-1,QC-P pool-2,QC-P pool-3,QC-P pool-4,QC-P pool-5,QC-P pool-6
LPE 20:4@4.197,Lysophosphatidylethanolamine,HSSpos,HSSpos_LPE 20:4@4.197,C25H44NO7P,501.28554,4.16,,3818,1551,6934,1405075,1410985,3684148,2969471,4159695,2762561,1238184,2819096,4637746,1484476,2759529,4630406,9104330,3218355,2398500,2007278,3777459,4484684,3037690,4655775,3073905,1333342,3407169,4095219,2331448,3195372,4024147,2451765,2904393,2462994,2497187,3496588,2801308,3495646,3637823,1379668,1989079,3471275,2365253,3481583,4078104,4113620,2931172,4306380,3914999,3374709,3463297,3596401,4203413,3206413,2747967,3272976,8068172,2633349,1394996,9588968,3405834,3360940,3461862,875,3432630,3402920
LPE 18:0@7.717,Lysophosphatidylethanolamine,HSSpos,HSSpos_LPE 18:0@7.717,C23H48NO7P,481.31684,7.65,,1233,2779,2748,1543347,2084644,2352214,3454362,3820805,3678937,2399893,2561310,4490993,2185134,2551964,4250314,8364964,3643775,1998115,2576478,4193803,2937064,3524178,3200948,2790218,2024335,3877353,3220176,2771706,2990144,2683693,3322953,3161799,2608722,3109549,3083005,2445245,3521137,2802026,2233052,2110527,3166777,3216561,3693156,3266029,3827192,2805139,3171110,3489051,2802267,3615664,2667140,3675143,2674884,3048845,3712054,8721853,2157650,1743493,8067136,3414287,3291531,3308501,238838,3429354,3451071
LPE 16:0@5.314,Lysophosphatidylethanolamine,HSSpos,HSSpos_LPE 16:0@5.314,C21H44NO7P,453.28554,5.26,,3398,612,1172,945766,1616709,1857026,2922181,2513792,3386952,1539419,2626249,3765252,1975171,2314224,3850514,4712897,2370187,1487758,1832252,3344432,2561850,2110360,2498808,1967444,1511524,2429563,3330330,2133662,1900069,2202322,2908861,2688491,2134452,2189822,2323052,1816976,3470350,2450169,1580089,1768077,2846358,2471605,2948160,2371296,2674555,2343633,2225019,3166104,1918278,2310649,2037114,2482694,2685873,2661219,2050777,6325265,1439790,1555931,5248354,2648893,2468641,2542613,6619,2611569,2664771
LPE 18:1@5.771,Lysophosphatidylethanolamine,HSSpos,HSSpos_LPE 18:1@5.771,C23H46NO7P,479.30119,5.72,,2002,2409,2404,682564,627522,919582,1494438,1255960,2278208,695704,1190674,2983637,985530,1324863,2109073,3227893,921051,925009,795347,2139149,1458492,796350,1428499,1784273,784172,1410086,1758964,1149765,1175712,1135557,1465360,1432556,1123039,1018967,379957,702642,2116652,1651534,722946,1037369,1594808,1486692,1437695,1178306,1240508,1435543,1533533,1583736,866720,1376934,1216060,1195152,987969,1175104,875300,3671369,882915,721396,3764062,1388733,1322775,1406470,2298,1452991,1467692
LPE 18:2@4.041,Lysophosphatidylethanolamine,HSSpos,HSSpos_LPE 18:2@4.041,C23H44NO7P,477.28554,4.01,,1878,2152,1113,305450,326452,586285,677932,908540,723759,234648,576843,1394379,325151,561085,944642,2031783,577550,660350,494691,1058444,739929,498303,923811,522250,264061,1049202,1145462,402069,839293,754630,655633,715006,536735,376255,256368,557071,811417,869761,279346,472206,780062,593876,559358,740992,593512,789782,772860,768734,462731,739776,701309,918642,684726,612193,574410,2030190,631952,272315,2053036,723120,702642,709996,5658,714031,725360
LPE 18:0@7.229,Lysophosphatidylethanolamine,HSSpos,HSSpos_LPE 18:0@7.229,C23H48NO7P,481.31684,7.16,,974,2564,1187,235074,271076,294821,442911,512195,446123,319349,344403,586474,272236,325288,543317,1117432,491891,254823,344998,451595,366051,483458,436916,291512,262613,535939,362739,337937,388826,340911,396707,389888,360881,407858,384414,281544,465185,353021,259236,285359,430540,389503,467567,400150,531093,336696,411252,466322,399051,511175,315031,477212,359661,419884,479435,1221355,317689,204167,1090488,453220,421381,428766,312306,435285,436819
PC 16:0_22:6@16.538,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_22:6@16.538,C46H80NO8P,805.562156,16.49,,271108,58700,7293,648435968,684822784,915250816,812283392,940119360,805162624,898676928,1166800256,909929536,820503360,782022272,979423744,1299287296,1081796096,634254656,929601344,925873984,869116096,1055054208,959689152,933030272,856315968,943122368,909268160,918089536,799090496,904718528,742658624,837102528,843115456,916640896,1400347392,745326912,895009792,817718720,789441088,983177024,1074693376,872250112,999796096,890521856,964413696,923698368,1025340352,1063444288,1039829120,1073222144,894668672,1144431616,879049920,697601664,1007288896,1073653888,685613824,758742656,1179388160,939423040,912555136,929765440,893759872,946788736,944042240
PC 16:0_18:2@17.225,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_18:2@17.225,C42H80NO8P,757.562156,17.12,,1818656,367503,182120,1479003776,1512044800,1527671936,2264249600,1883528832,2122898560,1832475776,2114010752,2191509760,2137182464,1857414144,2342139904,2343884544,1937077376,1396879488,1877002496,2229169152,1895734016,2059731840,1936948352,2055123968,1919361536,2347554560,2100460288,2187056384,1784968832,1672652288,2006068608,2110634624,2223657984,1863988096,1037891200,1401970560,2032649600,2018903168,1744071680,1969644544,2274103040,2257765888,2097453312,1749475200,2188103936,1836272256,2022781312,2044262144,1806188544,2053264512,1852465792,1959907840,1868520576,2076892160,2189114880,2626128384,1589580160,1630548096,2561145856,2004496512,2014374016,2032935552,2077554304,2079840768,2065556736
PC 18:0_18:2@18.726,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_18:2@18.726,C44H84NO8P,785.593456,18.68,,1715769,308653,114148,1194479360,1219949568,1416858624,1435501696,1835785344,1332513024,1585293440,1506432000,1871313536,1291988224,1176555904,1503142912,2477243136,1768646400,1207034368,1360352128,1527796480,1467279104,1760243072,1555191424,1524198272,1464445056,1939836032,1526754816,1385891072,1531837696,1386802688,1417301376,1647904128,1433960832,1609165824,761414464,1243564416,1239436416,1427081856,1353886720,1453589248,1591664128,1383705728,1617856256,1338751360,1668737536,1285086464,1728350336,1562778368,1607798400,1831167744,1559096704,1938495104,1533479936,1443986304,2045128064,2131748992,1322976512,1111775360,2525451008,1585544192,1573555968,1594270976,1622022784,1615617792,1636590720
PC 16:0_20:4@16.902,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_20:4@16.902,C44H80NO8P,781.562156,16.88,,256155,40765,11088,429829216,452238464,586311680,646374720,561056192,674270208,654712896,668096768,648293824,637662016,533342368,704849344,729126784,678771328,319213472,567086400,711405632,631189504,714816768,648891968,734492480,577996736,692238144,575616896,714661120,527071360,627435008,571002752,587032384,575841600,658734336,849852224,365323296,605114944,583666304,536810304,609934976,729089600,646079808,727117632,665738432,725369792,566002560,698674624,695909760,679878080,678944704,625089920,522715744,512937248,568692416,642712832,723051072,367716576,480157440,736470848,624015168,618009472,632249024,644950016,645406528,641264320
PC 18:0_20:4@18.331,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_20:4@18.331,C46H84NO8P,809.593456,18.26,,193708,8082,21749,324893536,325501184,612532480,256107344,476150144,264310480,452113248,361037888,369932192,270783104,246014160,344850880,671382784,645926784,341804896,455374400,333250912,354696096,645290624,513333408,357452736,304973120,449566784,304147520,269004608,456961536,499400160,250936144,335815680,254485408,398749728,808440768,442470976,209155392,309355616,362845760,350523520,386774368,225228976,346702400,453856704,388495904,349602592,486571904,414219456,571593216,461094752,486853216,599216000,370974528,276873760,625955712,401235840,439022976,252689568,588683328,408065600,386858656,396606304,398285056,409640192,411041600
PC 16:0_22:6@16.747,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_22:6@16.747,C46H80NO8P,805.562156,16.73,,9070,4118,3678,246474960,260979184,296326912,262433376,286278176,257483152,260056048,332092960,267274688,276507328,273538656,303275840,287002016,313359360,227453024,277805536,252113904,279703808,289812288,292025472,276201984,262279920,285033504,273577760,256863776,246601696,272318208,262068768,251556832,286586176,276817088,382477152,243928544,268884928,257803152,260172544,278178208,321212704,286682464,254374000,282269056,272272864,305012768,307083744,320835168,284062592,279462496,266139728,328768032,287540928,240835984,302166144,316169152,232122288,264848480,284931488,295651104,262986368,267597632,254861536,278709472,279409536
PC 16:0_18:1@18.391,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_18:1@18.391,C42H82NO8P,759.577806,18.3,,1027916,200930,54629,636877760,682088704,455649120,1417679744,747840640,1498486400,1049218688,1145435008,1369769344,1129634816,1079541888,1288637696,1057052928,638348736,266831792,480151040,1301630976,1048917952,593230464,689529856,1394315008,1233801984,994316288,934719040,1445071744,558218368,665741120,1372558464,1212608128,1221277184,1246355456,210052208,279740992,1538346880,1042806400,842331136,1101176832,1166202752,1441164544,1496499200,748523584,1384208256,686127680,1024352576,1075020544,776670272,1064074176,742416000,562151808,801638144,1015690816,594089600,1325893888,286422816,881195456,1262967808,1029360640,1023446720,1040883072,1068187072,1082325376,1084236672
PC 18:2_18:2@16.269,Phosphatidylcholine,HSSpos,HSSpos_PC 18:2_18:2@16.269,C44H80NO8P,781.562156,16.22,,30436,12038,1165,180166176,233169424,181046000,378567712,228430672,343651456,315764928,364657760,452480992,363631872,236456624,383542784,415544960,206331376,264666080,256478496,334116576,280403040,297659328,266030480,342484192,296307776,431913504,340214592,324872832,384169120,216463904,334388928,332901664,354032160,278171424,30593748,180601648,281713408,305362944,267833376,259819088,357594496,366842816,293580704,203049936,339780384,252883696,273655200,290031872,245555696,350814944,278090016,288465632,254800848,358402176,400906784,451572096,214056656,209967360,528427200,304585120,297944224,310158528,297895904,323238592,323524864
PC 18:0_22:6@18.009,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_22:6@18.009,C48H84NO8P,833.593456,17.98,,131834,19182,7692,195992336,255239408,348886912,171997360,365913920,163586608,307994496,368477472,292216000,186138496,159496832,278636224,615005824,414310848,215736048,277844480,212886544,241015584,420205280,330454048,237602048,215648784,318562016,273637952,179418240,253414128,315885408,163512368,257536048,183030080,269711488,620351936,295340160,188562736,209809072,250317232,277043968,288669888,151218240,245550224,246867520,258482992,254496640,309154944,429639616,376383680,338183616,313212096,569315328,342562528,191921264,408870720,308732416,272316992,182086048,501942080,301436800,285709088,290693152,293186240,302893280,299764832
PC 18:1_18:2@17.447,Phosphatidylcholine,HSSpos,HSSpos_PC 18:1_18:2@17.447,C44H82NO8P,783.577806,17.38,,244860,15941,26126,295354784,258033296,319802784,470098720,368826464,615787648,575842816,490413216,632073792,421103936,354997184,618138880,809181824,377947552,277760352,316936672,545776832,419805248,405770720,406264576,656442816,470486048,490908672,439401216,617456064,468402240,319899552,443716896,477580704,453603744,542909440,104428952,241216816,494662720,405540000,431044640,426529792,482932576,518888928,598645568,339280672,544657664,333749024,538307520,509158016,415735424,543874688,394081728,413132096,336291104,381862848,463885920,614268800,258288416,307390176,879158720,451475648,451386048,464691104,455669568,483789856,475613152
PC 16:0_22:5@17.008,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_22:5@17.008,C46H82NO8P,807.577806,16.99,,4229,5335,2312,75613984,85667888,117006072,124227960,142720304,135892336,149147376,150547040,171259376,122760896,116093912,139636368,177031488,127474768,49235732,90344728,165996640,134157760,115133184,113584816,174804208,133765672,133614992,91105800,154547584,105713072,125863520,129134632,109307856,107278472,166083824,121088480,82107008,163128976,111849888,115869048,135843344,137306848,150359328,184498240,133895576,159914192,97303776,177262976,163659824,173788112,174271888,128067232,106147080,67746984,79337312,102428432,165760320,64763776,121815528,198012752,132451168,128166192,134224848,132507344,136636320,136227328
PC 16:0_20:5@15.993,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_20:5@15.993,C44H78NO8P,779.546506,15.94,,36454,30220,1051,126818424,140336096,84167016,268698240,145790480,323384000,244156720,208657232,260198736,210659856,232411472,295033696,321059488,136093024,37230416,131895656,267610624,232951952,140220192,141314560,305084768,248990368,205806240,158500640,312022688,123576728,141243920,237544640,191079632,195082576,287435296,97809128,73988144,263834096,207418320,182878800,214002704,253526416,296662080,425217216,180550896,393695680,136271920,231503424,271620736,192343136,238427264,158075776,126526672,131410320,175106768,165651152,326809696,67378144,156314272,374468096,216960992,205810176,213312336,213879568,220598672,218953200
PC 18:0_20:5@17.48,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_20:5@17.48,C46H82NO8P,807.577806,17.45,,91774,3033,12026,105950744,128624104,110223888,142903456,141404224,162946144,194420736,141452784,193249200,112307448,130929840,168887200,248844336,128827656,55337820,109412528,145038512,160136736,128223144,119083448,187215424,165210016,150459456,112941448,139196112,110077264,123227256,145890256,140939824,115206688,211295968,115108680,97492432,130965264,131971744,149191328,142947296,145363392,132256432,218463152,139159664,232368688,91400008,177155152,201680288,178689120,172830896,133734416,131931264,121441792,116300752,163179056,180892528,78999976,112513600,276609056,145673168,143359360,149987808,151810688,155559824,154579904
PC 18:1_22:6@16.736,Phosphatidylcholine,HSSpos,HSSpos_PC 18:1_22:6@16.736,C48H82NO8P,831.577806,16.73,,9334,4451,9790,65203400,54331472,98419200,55984360,82105056,73099160,105893344,95592984,105251064,59840472,74930208,76385112,157245872,83330528,61245920,71097184,67331712,91010080,88815536,80148456,89831704,80935768,63752800,70572248,76140752,86357064,79233432,55456836,78792976,81512272,90711856,53049240,77335120,75033144,75564184,82703920,97917832,89992936,68492536,100661544,76515848,81835680,58860768,123903656,64448488,106244400,108483744,98658968,101091072,75021512,53356988,86865808,70914800,60135556,81177848,143168432,86567192,81341928,82716448,73357576,81050112,81806376
PC 17:0_18:2@17.988,Phosphatidylcholine,HSSpos,HSSpos_PC 17:0_18:2@17.988,C43H82NO8P,771.577806,17.93,,89444,30753,9904,95760808,75590800,131629656,128938456,123115896,143007008,127814296,148710528,129862456,135552000,104045200,177190576,292912096,118971288,105708360,139584544,135828448,131111256,194357968,163883200,147574976,127579960,168481728,164982256,128965016,157437280,114491080,91274488,146159104,169612512,131664672,31102408,78116792,101346096,147590976,128975216,112123200,160420336,138827072,134256016,137907680,157818048,123640912,171567584,104983736,105537904,137292112,172086912,160051280,126384400,134531824,228761792,267067968,111911192,107427680,251125920,147037728,139153648,142508256,144912240,150152336,148657872
PC 18:0_18:1@20.01,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_18:1@20.01,C44H86NO8P,787.609106,19.99,,377505,83837,49212,169804352,164915392,158110416,240824672,256971328,246717696,312631392,193784384,390901728,166157776,187545616,189393280,490062752,239057664,81548600,111312840,251601472,213285520,181432080,161758432,291808320,309515968,244279968,191998192,254631136,161957952,186551824,253392640,329661248,215567984,363695136,45300472,84567208,280218848,195267920,198204128,253713632,221274432,212826352,338457696,165042256,340951520,134976272,278495040,199865200,217884192,324044576,218330704,195846944,194022960,192881088,170328448,295849056,84876376,160289088,541869760,242549376,228581584,236301280,240775008,253218192,243012272
PC 18:2_20:4@15.979,Phosphatidylcholine,HSSpos,HSSpos_PC 18:2_20:4@15.979,C46H80NO8P,805.562156,15.91,,12283,14813,1379,25490122,28594322,37165460,47006964,35525732,52191112,57883164,42098784,58599000,41048564,35665288,48350376,70566584,33401822,22778542,30843288,47834392,51061160,43190668,42479584,66183816,48976416,50292912,37624932,59530612,55523248,50826132,38030624,43476852,36175556,64733352,11795638,20224852,41133740,42524356,41442400,40274096,49746952,41933500,74705688,45419028,63704268,28434144,49794416,44374160,55240672,63347856,45550676,28864636,30392818,37747776,50099768,50532096,21502292,32147550,68331224,44509900,45585044,47170512,29741402,46257368,43318796
PC 18:0_22:5@18.457,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_22:5@18.457,C48H86NO8P,835.609106,18.44,,15387,3620,11005,22978476,30448540,31468102,25541052,50175904,22613066,39733796,31200978,39982260,25030896,25070714,29408006,52000256,41934728,19616620,25723486,35709660,34994032,37880904,33657396,35892960,30388684,38818080,24618090,24909756,30273666,35156120,30282366,28840644,22723552,39837520,30753926,26771868,28088666,26865938,31866512,34942744,30458342,26643002,36816256,33456542,35827284,26182384,44638856,45856236,48655288,42121484,36672012,38807956,22768208,21389224,31245042,43841536,22230518,26114946,55046244,34163644,32622284,34345468,34954960,36260204,36483872
PC 18:0_20:3@19.204,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_20:3@19.204,C46H86NO8P,811.609106,19.18,,129167,27544,30211,60922396,72286272,87880544,66740660,103006824,69783032,106361712,73877176,108040536,60469792,60158264,73882208,171819712,109652608,46837460,63487580,93505424,75496128,109142872,93267864,92243256,79921424,110821256,71869896,77796384,71588800,90853584,70595024,83371552,65124704,104222616,46125248,53538968,61179960,69040560,82425504,85686864,85196016,62350564,92631096,71653080,96688704,68120232,103632080,90084776,110180944,115382832,90239376,102192336,77767568,61778500,97643832,95710168,51501424,59375276,149349696,85317032,82587872,85028328,86788056,89617208,87521712
PC 17:0_22:6@17.037,Phosphatidylcholine,HSSpos,HSSpos_PC 17:0_22:6@17.037,C47H82NO8P,819.577806,17,,7551,6930,13286,21216176,20578450,43469696,14727836,28715874,18728408,29837966,38878368,18523244,23770080,18144020,31006144,50732928,31814840,29916642,34544596,17900046,26406692,52359508,41617944,24078990,22202248,24548478,32950830,16550205,37092928,33576432,11615984,23153456,23871156,25255994,43012344,24763236,15317730,26285792,31107618,23704924,28847130,16817428,20978286,34218976,22446040,32239746,37333108,28452478,31015874,26660392,44098664,50488032,34423232,19927148,50439596,29944704,29991562,27490706,32578758,29413320,28652226,29044574,29788672,29685150,29991040
PC 34:3@16.185,Phosphatidylcholine,HSSpos,HSSpos_PC 34:3@16.185,C42H78NO8P,755.546506,16.18,,14703,5966,2660,20662340,15954604,25832636,32603904,26235742,30477820,23959986,31567230,35836832,22716428,26633346,37220164,44771152,25880098,15586142,22711810,31695882,34173396,30048294,24576158,25350452,26642196,29942626,29295086,24759786,22016880,23229376,24699022,33987468,31467832,31713774,9321939,16560287,28692576,29269398,20927230,26474268,36127872,28529482,39591636,32416496,47190880,19461646,46402932,37879008,29603236,31183448,25066660,28065506,28430604,24651172,34005272,48782000,15465646,21231496,52311728,29553270,28797270,29343164,35861396,31537512,32456616
PC 16:1_18:2@15.991,Phosphatidylcholine,HSSpos,HSSpos_PC 16:1_18:2@15.991,C42H78NO8P,755.546506,15.95,,4989,4592,3120,11088573,6179823,12994343,20499806,19360110,22208074,18736118,23698536,28791178,15957706,19043940,25511802,55996960,20898334,6634386,16375695,30590110,30006862,21942326,15450424,24070536,25347200,23094488,24467286,22394030,14322653,14927921,17579906,25518988,21583838,25459818,2397993,10924595,24093086,21304648,11883449,23352010,34839312,22118924,40440084,24769118,35707244,10011899,43550524,16954696,22120236,32276842,18212026,17006630,15819233,11766215,25445668,39882432,7750755,13993590,58311880,21861862,22096492,23515062,15024114,23452024,22175646
PC 16:0_16:0@18.322,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_16:0@18.322,C40H80NO8P,733.562156,18.25,,58346,19369,6708,22215732,32448414,23527852,41865928,24725262,38374832,28919864,38308292,31281508,51707440,37139976,31099042,27718096,31126274,26176800,29072774,40742656,27530352,31003048,29520116,44123436,37663848,37059432,30147412,58184328,35032100,27717178,37212460,36144640,37995336,35007780,18746668,16523208,39739688,31654074,31578208,34361504,39342084,42194928,32293726,22718808,34517308,32168814,33560768,29431218,26996894,32982650,27932438,23760958,28725302,33536324,27307150,37739732,21941026,30675618,27609194,34207180,33318088,33640484,35340312,36189948,36553740
PC 38:6@16.158,Phosphatidylcholine,HSSpos,HSSpos_PC 38:6@16.158,C46H80NO8P,805.562156,16.14,,32397,1645,2665,17771774,16678404,19271692,22359820,12673147,28281322,24418696,16145294,22826034,18118424,22197302,22045346,4956395,11414523,11983366,10678878,16974996,21736670,10742377,15001309,31553548,24432890,16657365,8345140,19546340,21421886,19955752,20209862,17509756,17860196,30491456,7069394,8522772,18785942,21401044,21432112,15110967,17516290,21079398,28474170,19394438,28895178,14903794,24411258,18072002,21398756,18514580,19339788,6252755,10159738,14642579,19102178,19335750,10062041,16401026,25492798,18921332,17103972,18897720,24818564,21828104,23087674
PC 19:0_18:2@19.518,Phosphatidylcholine,HSSpos,HSSpos_PC 19:0_18:2@19.518,C45H86NO8P,799.609106,19.44,,145345,43479,26698,26048066,23625480,48118160,35521880,45699040,40390096,50925824,48242544,50827328,37569808,30822232,40925736,105082560,41401680,40966112,31140988,39077864,52753708,55177384,50188100,48319288,45355860,49879164,52428260,32779166,54245444,29918782,31066272,56728276,39813448,51397764,11499459,24889470,28372510,41760324,37258788,33536820,50371676,31402848,44025672,29477854,49128308,37978964,55721168,32388692,31008600,46631696,51021112,57910432,49622136,37280384,81286072,85029592,31591660,33032342,101787632,45498012,44427616,45318044,46090560,48152228,46696928
PC 15:0_18:2@16.531,Phosphatidylcholine,HSSpos,HSSpos_PC 15:0_18:2@16.531,C41H78NO8P,743.546506,16.49,,13664,15450,5814,16526184,13011897,25375000,28084464,19976340,19683708,20096632,18791606,18340978,16218882,15365442,33105994,34009304,15784100,18825336,22421442,18965766,21706480,31903028,22006668,16937182,15956320,25412950,40695396,17448824,19522940,16870532,15926445,33169854,30599692,17395738,2325363,14268716,18197934,16637402,20363034,16591191,28631072,20021194,18258690,18292848,25574208,11832937,24088230,21036122,13129641,17686732,21592722,18773810,30143082,28548046,38507052,43387600,17285366,17809092,37861036,22733044,21422816,21558298,21157292,22376262,22378766
PC 17:0_20:4@17.53,Phosphatidylcholine,HSSpos,HSSpos_PC 17:0_20:4@17.53,C45H82NO8P,795.577806,17.48,,8984,12249,580,25920230,21546768,54110408,25371608,31509318,33177068,38897696,36392056,26397912,33485322,24085452,40549040,65418444,41366760,29156314,41781032,32770440,33902864,62519692,51405836,39548788,30760308,37500516,33401534,31006582,46622460,43017464,19648992,28648600,31907478,34626020,41262980,23605850,20483728,34526124,35158604,26795672,40126224,28477188,33091064,49769936,37071180,35995420,47349416,29001554,38510892,35462016,52477280,38757384,29914016,27893172,59248796,46336892,30479488,28994944,49469584,35973012,35899928,36676524,37270680,38547680,38124108
PC 18:2_22:6@15.591,Phosphatidylcholine,HSSpos,HSSpos_PC 18:2_22:6@15.591,C48H80NO8P,829.562156,15.53,,8903,11366,13317,13419641,14080592,24320842,18721814,15380894,18931786,26493088,23084176,23511922,14644991,14639470,23784212,39053684,16873176,16594439,16546222,16220788,23116774,23593226,19786370,25792008,19912450,20373964,20259102,19916084,29222254,25140594,12886388,18953000,15712073,28802012,8970259,10955366,16159997,18159644,18576402,16971742,21942254,15750219,28860044,21296476,25905614,15256595,23679374,22249696,27607222,27100870,22679172,17830408,19295924,15478288,28042352,22840594,11439129,14883133,32390620,20034044,20161176,20958672,20219982,21664538,20839680
PC 18:2_20:5@14.96,Phosphatidylcholine,HSSpos,HSSpos_PC 18:2_20:5@14.96,C46H78NO8P,803.546506,14.95,,14300,2145,448,8770943,10428436,6379418,20963886,9128149,25575128,24124748,15575140,25787774,15821444,16441014,23100680,23426682,7540294,4114624,8519217,18623648,19913822,10189015,10542284,29411418,22968194,18160948,11958208,24889972,16047227,12401828,17342108,15746335,14064335,31604552,1183980,4366933,19943522,17474790,16288218,15055998,20393036,20024348,39553784,11902005,36556816,7958184,16705955,18126322,17355454,23435014,13879849,7042764,9104815,12677888,17431904,20935124,4537000,11227728,27685562,16305015,16364141,17038434,12013793,17848090,16774361
PC 18:2_18:3@15.238,Phosphatidylcholine,HSSpos,HSSpos_PC 18:2_18:3@15.238,C44H78NO8P,779.546506,15.18,,26701,15300,3108,7404549,5178534,9762909,12739314,6914607,9010500,11581165,13880660,16888718,9109860,7329967,15753080,26645348,5171066,8524284,9094572,11359296,14004355,14457582,9023838,8182492,9842124,16820214,15640269,8367591,14160766,8008801,7867027,13692937,11077998,12191120,826882,5000464,9016210,11137613,7429345,8693690,16814630,10288795,13715319,10236260,20201548,6245645,13551263,12114319,11206001,13850069,12113350,8375991,10467866,9988346,22487234,23886604,5302206,6245434,32961718,11541920,11083680,11612931,10539100,12068315,11613067
PC 16:0_16:1@16.979,Phosphatidylcholine,HSSpos,HSSpos_PC 16:0_16:1@16.979,C40H78NO8P,731.546506,16.97,,9448,19024,500,10548497,9817790,7052098,36555492,11824659,34415832,17888840,23301882,26674622,20669656,21049572,35872608,20393330,11250438,3826170,9410163,27000536,25140710,11099500,11001162,29184906,25429862,20549262,22664532,27208834,7642527,8963287,28485936,29899878,27545210,25329400,2529661,5172409,36529124,19791130,12785240,19116508,28254206,29261778,45933628,12987965,32661078,9127348,21250712,20843864,11198569,18144430,11487556,7555609,18339996,23905436,12204660,44192460,5253950,14056760,35393488,20756330,20459058,21013160,21641348,21753666,21657270
PC 15:0_18:2@16.746,Phosphatidylcholine,HSSpos,HSSpos_PC 15:0_18:2@16.746,C41H78NO8P,743.546506,16.73,,7166,4075,575,6379180,5138030,8242384,9462204,6448361,6566044,6189904,5567742,5810667,5741577,5763094,10063768,7310758,4805286,6865396,7434318,5361371,7202596,8976453,6831345,5053791,5225073,7802761,12695083,5147030,6524070,5343396,5864458,10698268,11215435,5514574,652922,4944686,5907080,5605601,6895433,5078862,8732549,6949280,4995049,5771144,7535683,4262706,7207422,6664633,3777274,5117295,6877830,5869134,10049187,10149710,12074790,12196209,6184353,6217679,9067349,7661675,6457864,6533524,8081760,6879212,7172605
PC 17:0_18:1@19.146,Phosphatidylcholine,HSSpos,HSSpos_PC 17:0_18:1@19.146,C43H84NO8P,773.593456,19.18,,52526,32642,19571,27839006,21781666,31139554,39600068,32792102,52039748,46116140,40282488,48288280,36361596,33686696,47549576,74066000,28909934,16796780,24844940,45716152,39898608,37715880,34002928,54342212,48844728,37230700,42948840,46335608,33121630,30711108,32574024,49159064,47005000,51914604,7073105,12884859,46475912,40125100,38293940,38815076,43803620,45567804,54626724,36668632,54376196,26238872,53568380,32350028,29961058,43499248,44269924,29461532,32720162,32319428,36790012,64791904,16605864,35269320,69446144,40515652,39899560,40420744,41036228,42171368,41507548
PC 18:0_20:2@20.305,Phosphatidylcholine,HSSpos,HSSpos_PC 18:0_20:2@20.305,C46H88NO8P,813.624756,20.29,,52607,49963,20862,25018786,34011472,28378270,31375452,41022224,29276436,45025440,31729972,48461748,25276298,27785040,25096504,73201992,36302040,19504906,20239320,33509794,29700714,39206520,33051436,35476460,35519104,44956052,31914144,32213470,33668076,32796156,31481792,41936404,29296108,47146876,6408978,14264324,28215210,28717220,33851400,35455192,32366458,27844870,36802188,20972666,42232680,29851170,41619364,27010626,38723784,49916232,37642416,38381660,31339050,26959216,35121620,39598852,16122454,24896228,63045952,35410236,33731592,34538424,35182772,36842980,35626588
PC 17:0_20:5@16.752,Phosphatidylcholine,HSSpos,HSSpos_PC 17:0_20:5@16.752,C45H80NO8P,793.562156,16.74,,14851,9044,5465,6148912,5838441,5350952,7908445,6344182,10666362,9102925,6764724,8416254,7608728,8057519,10192906,9850252,4748425,2811799,6728254,7178444,8905605,6835118,6623297,9401248,8335667,7269394,7502765,7229143,7765213,6031715,7132378,7179490,8479662,9640761,2358503,4093963,6786233,7957348,8974732,6454556,7896459,9110536,9523863,7953472,11992266,5497106,8791098,8771260,6236204,6899215,7757971,6231697,6489411,7907790,9927151,10305011,4558046,7126474,10286473,8096646,7562046,7459842,7312292,7734323,7765429
